Date,Status
01/02/2018,Present
02/02/2018,Absent
03/02/2018,Present
04/02/2018,Absent
05/02/2018,Present
06/02/2018,Present
07/02/2018,Absent
08/02/2018,Absent
09/02/2018,Absent
10/02/2018,Present
11/02/2018,Present
12/02/2018,Present
13/02/2018,Absent
14/02/2018,Present
15/02/2018,Absent
16/02/2018,Present
17/02/2018,Present
18/02/2018,Present
19/02/2018,Absent
20/02/2018,Present
21/02/2018,Present
22/02/2018,Present
23/02/2018,Absent
24/02/2018,Present
25/02/2018,Absent
26/02/2018,Present
27/02/2018,Absent
28/02/2018,Absent
